true_label,pred_label,pred_prob
ER,ER,0.8634501323103905
ER,Ribosome,0.47938563069328666
ER,ER,0.6747137606143951
ER,ER,0.7963875234127045
ER,ER,0.5340420864522457
ER,PM,0.47990233451128006
ER,ER,0.8964155912399292
ER,ER,0.5672276541590691
ER,ER,0.579320602118969
ER,ER,0.8435672298073769
ER,ER,0.9039736837148666
ER,PM,0.6943910121917725
ER,ER,0.787567175924778
Vacuole,Ribosome,0.9079102724790573
Vacuole,Vacuole,0.8203161880373955
Vacuole,Vacuole,0.8251490220427513
Ribosome,Ribosome,0.8167771697044373
Ribosome,PM,0.5639473125338554
Ribosome,PM,0.6479084193706512
Ribosome,Ribosome,0.4227985106408596
Ribosome,Ribosome,0.7367580980062485
Ribosome,Ribosome,0.6188638135790825
PM,ER,0.7702816873788834
PM,PM,0.5776521787047386
PM,PM,0.5592477098107338
PM,PM,0.7807079330086708
PM,ER,0.8861344903707504
PM,PM,0.7949077785015106
Cytosol,Cytosol,0.9546931833028793
Cytosol,Cytosol,0.8841085880994797
Cytosol,Plastid,0.6404941231012344
Mitochondrion,Mitochondrion,0.4780444232746959
Mitochondrion,Mitochondrion,0.8115030229091644
Mitochondrion,Plastid,0.5517108626663685
Mitochondrion,Mitochondrion,0.9348806738853455
Mitochondrion,Plastid,0.6433121412992477
Mitochondrion,Mitochondrion,0.7542484551668167
Mitochondrion,Plastid,0.801432229578495
Mitochondrion,Mitochondrion,0.7197729051113129
Mitochondrion,Plastid,0.7588636130094528
Mitochondrion,Mitochondrion,0.7555736899375916
Mitochondrion,Mitochondrion,0.8656363040208817
Golgi,Golgi,0.9937896579504013
Golgi,Golgi,0.9961111396551132
Golgi,Golgi,0.9965996593236923
Golgi,Golgi,0.9985780715942383
Golgi,Golgi,0.9915960431098938
Golgi,Golgi,0.769727312028408
Plastid,Plastid,0.4984063655138016
Plastid,Plastid,0.7578630447387695
Plastid,Mitochondrion,0.7506183534860611
Plastid,Golgi,0.8087258189916611
Plastid,Plastid,0.8048189580440521
Plastid,Plastid,0.94200798869133
Plastid,Golgi,0.5331948548555374
