data,method,result,Precision,Recall,F1-score,Accuracy
orre2019,WithoutAttention,Cross_validation_1,0.7500189760462527,0.7323460868675761,0.7293860537935394,0.7444029850746269
orre2019,WithoutAttention,Cross_validation_2,0.7131080786595216,0.7400712610277435,0.7205238309636777,0.7257462686567164
orre2019,WithoutAttention,Cross_validation_3,0.7785634205896959,0.7703756862868352,0.7675078950668538,0.7682242990654206
orre2019,WithoutAttention,Cross_validation_4,0.7745973759044218,0.7671767940995071,0.7671422135540951,0.7738317757009345
orre2019,WithoutAttention,Cross_validation_5,0.7613126620059084,0.7735681595283077,0.7598928999222357,0.7663551401869159
orre2019,WithoutAttention,Cross_validation,0.75552010264116,0.7567075975619939,0.7488905786600804,0.7557120937369228
orre2019,WithoutAttention,Test,0.7511116630228651,0.7615557827641256,0.7538207931618391,0.7610619469026548
orre2019,WithAttention,Cross_validation_1,0.758508675580634,0.7371612766019939,0.7346590134375174,0.7406716417910447
orre2019,WithAttention,Cross_validation_2,0.7325024183341096,0.7379564385574537,0.7279599103153189,0.7388059701492538
orre2019,WithAttention,Cross_validation_3,0.7666629215791784,0.7884345215478077,0.7714821211832439,0.7738317757009345
orre2019,WithAttention,Cross_validation_4,0.7841831969475469,0.7649260786343957,0.7678527317222982,0.7794392523364486
orre2019,WithAttention,Cross_validation_5,0.7576875478956822,0.758275060282768,0.7512270487257602,0.7514018691588785
orre2019,WithAttention,Cross_validation,0.7599089520674301,0.7573506751248839,0.7506361650768278,0.756830101827312
orre2019,WithAttention,Test,0.7738864831561166,0.7767767404165659,0.7685222188246082,0.7743362831858407
