cv_index,true_label,pred_label,pred_prob
1.0,Plasma Membrane,Plasma Membrane,0.32626399397850037
2.0,Cytosol_4,Cytosol_4,0.7259650230407715
5.0,Cytosol_4,Cytosol_4,0.6247800588607788
5.0,Cytosol_5,Cytosol_5,0.8557881116867065
5.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.5756914615631104
5.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.7838136553764343
2.0,Mitochondria membrane,Mitochondria membrane,0.5018936991691589
1.0,Mitochondria membrane,Plasma Membrane,0.5548919439315796
4.0,Plasma Membrane,Mitochondria membrane,0.5631795525550842
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.7801019549369812
5.0,Plasma Membrane,Plasma Membrane,0.580045223236084
4.0,Plasma Membrane,Plasma Membrane,0.4910908043384552
1.0,Plasma Membrane,Plasma Membrane,0.5193800330162048
5.0,"ER, Mitochondrion","ER, peroxisome",0.5898465514183044
1.0,"ER, peroxisome","ER, peroxisome",0.7613168954849243
1.0,"ER, peroxisome","ER, peroxisome",0.7124301195144653
4.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9666096568107605
4.0,Cytosol_3,Cytosol_5,0.8697600960731506
1.0,"ER, Mitochondrion","ER, Mitochondrion",0.5873857140541077
2.0,"Golgi, Endo/Lyosome","ER, peroxisome",0.7446335554122925
2.0,"ER, peroxisome","ER, peroxisome",0.4441724121570587
5.0,"ER, peroxisome","ER, peroxisome",0.759608268737793
1.0,Cytosol_3,Cytosol_3,0.5607210993766785
1.0,Cytosol_1,Cytosol_3,0.44746506214141846
2.0,Cytosol_4,Cytosol_4,0.9123075604438782
2.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.5865980386734009
4.0,Mitochondria matrix,Mitochondria matrix,0.8171325922012329
5.0,Cytosol_3,Cytosol_3,0.6520723700523376
5.0,"ER, peroxisome","ER, peroxisome",0.8656347990036011
4.0,Cytosol_5,Cytosol_5,0.5219845175743103
2.0,Nucleus (speckles),Nucleus (speckles),0.9748563766479492
4.0,Cytosol_5,Cytosol_5,0.6061387658119202
5.0,Cytosol_4,Cytosol_3,0.48593565821647644
2.0,Cytosol_4,Cytosol_4,0.5117642879486084
4.0,"ER, Mitochondrion","ER, Mitochondrion",0.6071507930755615
3.0,"ER, peroxisome","ER, Mitochondrion",0.46149274706840515
3.0,"ER, Mitochondrion","ER, Mitochondrion",0.7884460091590881
4.0,Cytosol_2,Cytosol_3,0.5342908501625061
4.0,Plasma Membrane,Mitochondria membrane,0.40224188566207886
5.0,Cytosol_4,Cytosol_4,0.7490350604057312
2.0,Cytosol_1,Cytosol_1,0.4577193558216095
3.0,Plasma Membrane,Plasma Membrane,0.6285410523414612
1.0,"ER, peroxisome","ER, peroxisome",0.3645510673522949
2.0,"ER, peroxisome","ER, peroxisome",0.8706383109092712
1.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.5115174651145935
2.0,"Nucleosol, Ribosome",Nucleus (Nucleolus),0.8076741695404053
5.0,Cytosol_5,Cytosol_5,0.8735073208808899
2.0,Mitochondria membrane,Mitochondria membrane,0.39178329706192017
4.0,Plasma Membrane,Plasma Membrane,0.5587624311447144
5.0,Plasma Membrane,Plasma Membrane,0.6653335094451904
1.0,Cytosol_4,Cytosol_4,0.5623939037322998
5.0,Cytosol_4,Cytosol_4,0.5507853031158447
1.0,"ER, peroxisome",Plasma Membrane,0.708598256111145
3.0,Nucleus (speckles),Nucleosol,0.9153578877449036
3.0,Cytosol_5,Cytosol_3,0.3874931037425995
5.0,Cytosol_5,Cytosol_2,0.6514911651611328
3.0,Cytosol_4,Cytosol_4,0.3803628385066986
3.0,Cytosol_5,Cytosol_4,0.42655691504478455
4.0,Nucleosol,Nucleosol,0.7941725254058838
4.0,Mitochondria membrane,Mitochondria membrane,0.8828113079071045
2.0,Cytosol_4,Cytosol_4,0.4884897470474243
5.0,Cytosol_2,Cytosol_1,0.5084917545318604
2.0,Cytosol_1,Cytosol_3,0.3821413815021515
2.0,Nucleosol,Nucleosol,0.9619486927986145
3.0,Mitochondria membrane,Mitochondria membrane,0.7627615928649902
4.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.874661922454834
1.0,"ER, peroxisome","ER, peroxisome",0.6696557998657227
4.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.6381027102470398
3.0,Cytosol_3,Cytosol_3,0.5387982726097107
2.0,"Nucleosol, Ribosome","ER, Mitochondrion",0.33812177181243896
4.0,Cytosol_3,Cytosol_3,0.6271920204162598
2.0,Mitochondria membrane,Mitochondria membrane,0.8601700663566589
5.0,Cytosol_4,Cytosol_4,0.5711890459060669
1.0,Nucleosol,Nucleosol,0.9731324315071106
2.0,Mitochondria membrane,Mitochondria membrane,0.498460978269577
1.0,Cytosol_2,Cytosol_3,0.32141122221946716
2.0,Nucleosol,Nucleosol,0.6481934785842896
2.0,Cytosol_5,Cytosol_5,0.5646078586578369
4.0,Cytosol_1,Cytosol_5,0.4937373697757721
4.0,Cytosol_1,Cytosol_3,0.40178820490837097
1.0,Cytosol_1,Cytosol_5,0.33957305550575256
5.0,Plasma Membrane,Mitochondria membrane,0.5007947087287903
2.0,Cytosol_4,Cytosol_4,0.7693101763725281
5.0,Cytosol_1,Cytosol_1,0.9238234758377075
4.0,Cytosol_4,Cytosol_4,0.608384370803833
1.0,"ER, peroxisome","ER, peroxisome",0.7095822095870972
4.0,"ER, peroxisome","ER, peroxisome",0.7231043577194214
1.0,Plasma Membrane,"ER, Mitochondrion",0.510320246219635
2.0,"ER, peroxisome","ER, Mitochondrion",0.6993319988250732
3.0,"ER, peroxisome",Plasma Membrane,0.5311757326126099
2.0,Cytosol_5,Cytosol_5,0.3816666007041931
5.0,Cytosol_3,Cytosol_3,0.5314390659332275
4.0,"ER, peroxisome","ER, peroxisome",0.7817131280899048
5.0,Cytosol_4,Cytosol_5,0.47136566042900085
2.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.7785628437995911
3.0,"ER, Mitochondrion","ER, Mitochondrion",0.5871779918670654
4.0,Cytosol_1,Cytosol_1,0.5032108426094055
1.0,"ER, peroxisome","ER, peroxisome",0.5215499401092529
5.0,Cytosol_5,Cytosol_5,0.9240449070930481
3.0,Cytosol_4,Cytosol_3,0.5320411920547485
5.0,"ER, peroxisome","ER, peroxisome",0.597800612449646
5.0,"ER, peroxisome","ER, peroxisome",0.6264722347259521
4.0,Plasma Membrane,Nucleus (speckles),0.5099824666976929
2.0,"ER, Mitochondrion",Mitochondria matrix,0.3220597207546234
4.0,Cytosol_1,Cytosol_1,0.5645403861999512
3.0,Cytosol_1,Cytosol_1,0.37261196970939636
2.0,Cytosol_1,Cytosol_1,0.9186348915100098
3.0,"ER, peroxisome","ER, peroxisome",0.43978020548820496
3.0,"ER, Mitochondrion","Golgi, Endo/Lyosome",0.44084349274635315
4.0,"ER, Mitochondrion","ER, peroxisome",0.6405115127563477
3.0,Cytosol_1,Cytosol_1,0.5492134094238281
1.0,"ER, Mitochondrion","ER, Mitochondrion",0.6342366337776184
1.0,Cytosol_1,Cytosol_3,0.344378799200058
1.0,Cytosol_5,Cytosol_4,0.501112699508667
1.0,Cytosol_2,Cytosol_2,0.6311566233634949
1.0,Cytosol_1,Cytosol_2,0.391430526971817
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9246633648872375
3.0,Cytosol_3,Cytosol_2,0.3636828362941742
5.0,Cytosol_3,Cytosol_3,0.5670109391212463
2.0,"ER, Mitochondrion",Mitochondria matrix,0.605915904045105
4.0,Cytosol_1,Cytosol_3,0.6538301110267639
5.0,Cytosol_4,Cytosol_4,0.8055093288421631
1.0,"ER, Mitochondrion","Golgi, Endo/Lyosome",0.4210837483406067
1.0,Cytosol_1,Cytosol_2,0.5372653603553772
1.0,Nucleosol,Nucleosol,0.9104258418083191
3.0,Cytosol_5,Cytosol_5,0.6656498312950134
3.0,Cytosol_5,Cytosol_5,0.45596107840538025
1.0,Plasma Membrane,Plasma Membrane,0.5396314859390259
2.0,Cytosol_1,Cytosol_3,0.4432203769683838
1.0,"ER, Mitochondrion","Golgi, Endo/Lyosome",0.4124312400817871
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8579385280609131
5.0,Cytosol_3,Cytosol_3,0.5789885520935059
4.0,Mitochondria membrane,Mitochondria membrane,0.9443411827087402
5.0,Cytosol_3,Cytosol_4,0.5021303296089172
4.0,"ER, peroxisome","ER, peroxisome",0.8371158242225647
2.0,"ER, Mitochondrion","ER, Mitochondrion",0.9497528076171875
4.0,Cytosol_1,Cytosol_3,0.6684542298316956
2.0,Cytosol_2,Cytosol_2,0.3823679983615875
4.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.7448213696479797
4.0,Nucleosol,Nucleosol,0.8865367770195007
1.0,Cytosol_4,Cytosol_3,0.4885750114917755
5.0,"ER, peroxisome","ER, peroxisome",0.8389126658439636
4.0,Cytosol_5,Cytosol_5,0.7575558423995972
1.0,Cytosol_5,Cytosol_4,0.422573983669281
3.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.8271262049674988
2.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.8307631611824036
1.0,Mitochondria membrane,Mitochondria membrane,0.5983609557151794
1.0,Mitochondria membrane,Plasma Membrane,0.5583842992782593
3.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.6773819327354431
4.0,Cytosol_5,Cytosol_5,0.43807464838027954
2.0,Nucleosol,Nucleosol,0.9922884106636047
1.0,Nucleus (Nucleolus),Mitochondria matrix,0.5786890983581543
2.0,"ER, Mitochondrion","ER, peroxisome",0.6840503215789795
5.0,Cytosol_3,Cytosol_1,0.486261785030365
3.0,Cytosol_3,Cytosol_3,0.30058926343917847
1.0,Cytosol_3,Cytosol_3,0.4800441861152649
4.0,Cytosol_4,Cytosol_4,0.5248583555221558
3.0,Cytosol_4,Cytosol_4,0.7653623223304749
5.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8112693428993225
3.0,Cytosol_4,Cytosol_4,0.6762639284133911
4.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9463050365447998
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.7933523058891296
3.0,"ER, peroxisome","ER, peroxisome",0.6811209917068481
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8146923780441284
3.0,"ER, peroxisome","Golgi, Endo/Lyosome",0.8096247911453247
2.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.869748592376709
4.0,Plasma Membrane,Mitochondria membrane,0.5459725856781006
4.0,Plasma Membrane,Mitochondria membrane,0.6604044437408447
5.0,"ER, peroxisome","ER, peroxisome",0.5948929190635681
3.0,Plasma Membrane,Mitochondria membrane,0.5028297901153564
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9581311941146851
4.0,Mitochondria membrane,Mitochondria membrane,0.907255232334137
3.0,Mitochondria membrane,Mitochondria membrane,0.5499908328056335
3.0,Mitochondria membrane,Mitochondria membrane,0.7681652903556824
1.0,Mitochondria membrane,Mitochondria membrane,0.8380760550498962
3.0,Mitochondria membrane,Mitochondria membrane,0.7760412096977234
1.0,Mitochondria membrane,Mitochondria membrane,0.8277650475502014
1.0,Mitochondria membrane,Mitochondria membrane,0.8912610411643982
5.0,Mitochondria membrane,Mitochondria membrane,0.9565252661705017
2.0,Mitochondria membrane,Mitochondria membrane,0.49866005778312683
2.0,"ER, peroxisome","ER, peroxisome",0.48007237911224365
1.0,"ER, Mitochondrion","ER, peroxisome",0.7461190223693848
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8722731471061707
2.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8429765701293945
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.7382435202598572
2.0,"ER, peroxisome","Golgi, Endo/Lyosome",0.488093763589859
5.0,"Golgi, Endo/Lyosome","ER, Mitochondrion",0.5780075788497925
5.0,Plasma Membrane,Plasma Membrane,0.7240431904792786
4.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.4792693853378296
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8836302161216736
1.0,"ER, Mitochondrion","ER, Mitochondrion",0.6974296569824219
4.0,Nucleus (speckles),Nucleus (speckles),0.9968043565750122
4.0,Nucleosol,Nucleosol,0.8908805847167969
4.0,Cytosol_3,Cytosol_3,0.5367554426193237
3.0,"ER, Mitochondrion",Nucleus (Nucleolus),0.2752090394496918
2.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.5687089562416077
2.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.8929660320281982
5.0,"ER, Mitochondrion",Plasma Membrane,0.7055901288986206
4.0,"Golgi, Endo/Lyosome","ER, Mitochondrion",0.5412412285804749
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8338016867637634
4.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.7750460505485535
5.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9800133109092712
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.571482241153717
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9743180871009827
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8617910742759705
2.0,Cytosol_5,Cytosol_5,0.6031668186187744
4.0,Cytosol_2,Cytosol_2,0.6293014883995056
4.0,Mitochondria membrane,Mitochondria membrane,0.5265190005302429
4.0,"Nucleosol, Ribosome",Nucleus (Nucleolus),0.6261786222457886
3.0,Cytosol_3,Cytosol_2,0.45930033922195435
3.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.6617903709411621
4.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.6870254278182983
1.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.6583560109138489
2.0,Mitochondria membrane,"ER, Mitochondrion",0.8074054718017578
5.0,"ER, peroxisome","ER, peroxisome",0.5839831233024597
5.0,Cytosol_3,Cytosol_3,0.45555728673934937
3.0,Cytosol_3,Cytosol_1,0.3531113862991333
1.0,Cytosol_4,Cytosol_4,0.5992286205291748
5.0,Mitochondria membrane,Plasma Membrane,0.501969575881958
1.0,Mitochondria membrane,Mitochondria membrane,0.9034187197685242
5.0,Nucleosol,Nucleosol,0.9944210648536682
2.0,Nucleus (speckles),Nucleus (speckles),0.9786550998687744
5.0,Mitochondria membrane,Mitochondria membrane,0.8517081141471863
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.5723796486854553
1.0,Cytosol_3,Cytosol_3,0.3533535599708557
4.0,Cytosol_3,Cytosol_3,0.33634889125823975
1.0,Cytosol_1,Cytosol_2,0.47713321447372437
2.0,Cytosol_1,Cytosol_3,0.3304758667945862
5.0,Cytosol_1,Cytosol_1,0.9262012839317322
