Protein_ID,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,markers,DeepSP classification,DeepSP score,Curated DeepSP predictions
AT1G78900,0.217010244,0.19399574600000002,0.143693434,0.100155478,0.092429668,0.086029986,0.046005515,0.045992504000000003,0.038617915,0.03606951,0.243164128,0.17881072899999997,0.133956827,0.10926831699999999,0.09606448199999999,0.084496081,0.043007816,0.042161679,0.032741197,0.036328743999999996,unknown,Vacuole,0.4805784337222576,unknown
AT1G56340,0.14113379,0.15707324,0.12237223800000001,0.11041756900000001,0.10380148800000001,0.08865299199999999,0.074482043,0.07731908400000001,0.060940805,0.06380675,0.13206015699999998,0.15089188,0.15408455199999999,0.135569023,0.124150525,0.109498389,0.04397732,0.054106692000000005,0.050856369000000005,0.044805091,ER,ER,1.0,ER
AT5G28540,0.135616329,0.19289738899999997,0.169204815,0.132581404,0.109885088,0.107239569,0.044873723,0.041664078,0.036558415,0.02947919,0.15048381800000002,0.15345330599999998,0.13698828400000002,0.125763978,0.109243009,0.08798389,0.11367704699999999,0.045227406,0.042260325,0.034918938,ER,ER,1.0,ER
AT5G42020,0.148911356,0.16955846800000002,0.166649372,0.126127139,0.115782477,0.09180535199999999,0.053662401,0.045831742,0.045249397000000004,0.036422298,0.160293554,0.156246484,0.136460586,0.11057887400000001,0.093787013,0.075890521,0.122767135,0.058167439,0.048983299,0.036825096,ER,ER,1.0,ER
AT5G53560,0.120656977,0.158275162,0.164754402,0.12050745300000001,0.09575024300000001,0.087165633,0.067793851,0.070152231,0.059844297000000005,0.055099752,0.124416401,0.168555149,0.166627785,0.14800002199999998,0.11490570900000001,0.08971158900000001,0.050257147,0.047190725999999995,0.050205189000000004,0.040130284,unknown,ER,0.816667839884758,ER
AT4G38510,0.263976578,0.199324534,0.118787539,0.09065375,0.077283302,0.058587133,0.05785722099999999,0.04931425,0.04460540599999999,0.039610287,0.319176842,0.192420748,0.11155192800000001,0.08503735300000001,0.069878787,0.057448031,0.045768382,0.042987234000000006,0.037714767999999996,0.038015927000000005,unknown,Vacuole,0.8762017339468002,Vacuole
AT1G18210,0.173578591,0.14809166699999998,0.125258602,0.114912603,0.103222904,0.091624135,0.060051512,0.060505627,0.057274358,0.065480001,0.164707186,0.166409122,0.150299867,0.12439620800000001,0.10863520300000001,0.09973634199999999,0.03819318,0.058195820999999995,0.053154175,0.036272896,unknown,Ribosome,0.6852390542626381,unknown
AT3G49870,0.369362986,0.230609175,0.131741146,0.088820941,0.059556994,0.054836403,0.017364216000000002,0.01656593,0.016022565,0.015119644,0.38751901899999996,0.205199043,0.129092681,0.08341931799999999,0.065478905,0.049461065,0.036147507999999995,0.014036699,0.013113133,0.016532631000000002,unknown,Vacuole,0.9706119000911712,Vacuole
AT5G67560,0.328829567,0.245272264,0.189437485,0.072932733,0.0,0.067144645,0.03047293,0.027054502,0.01995717,0.018898703,0.39006614700000003,0.19940930399999998,0.115891229,0.090823621,0.0546809,0.045353943,0.050137601,0.018770829,0.016615268,0.018251158,unknown,Vacuole,0.6920765489339828,unknown
AT2G30490,0.145821154,0.151580574,0.159592416,0.12004179300000001,0.10701704599999999,0.093116991,0.06536886900000001,0.058421414000000005,0.04849770900000001,0.050542034000000007,0.128526773,0.144728816,0.138650575,0.120215968,0.11469949199999999,0.103871461,0.080123683,0.06285092,0.052662675,0.053669636,ER,ER,1.0,ER
AT1G74020,0.077685165,0.12495695,0.119080949,0.093856799,0.11185523300000001,0.097918481,0.102863256,0.098581191,0.083674234,0.08952774,0.08806174800000001,0.111631668,0.11969548599999999,0.118336226,0.090298065,0.112388203,0.106799696,0.092417061,0.08375084099999999,0.07662100599999999,unknown,PM,0.4777523577213288,unknown
AT5G09810,0.106728747,0.09445077699999999,0.096970899,0.075766395,0.07348761,0.081563547,0.10409727699999999,0.118410036,0.12254137,0.125983343,0.111918802,0.10008320400000001,0.082606654,0.074586906,0.079825495,0.083001798,0.110824461,0.116801929,0.125598454,0.11475229599999999,unknown,Cytosol,0.2928772997111082,unknown
AT1G21750,0.151799783,0.179507327,0.145515063,0.11372122900000001,0.10846417900000001,0.100936999,0.052789879000000005,0.054744481,0.046003309000000006,0.046517752,0.14293203599999998,0.145243512,0.139586176,0.117987513,0.110205389,0.108661275,0.063280009,0.058404399,0.050160040999999995,0.06353965,ER,ER,1.0,ER
AT2G21160,0.12563523199999999,0.131647439,0.130772658,0.114959995,0.09871658,0.084133965,0.08727478300000001,0.08257262900000001,0.074262991,0.070023728,0.114881715,0.134770422,0.13609829699999998,0.121162036,0.10769754599999999,0.08768993300000001,0.08066936,0.075339602,0.073480266,0.068210822,unknown,ER,0.4862751886248589,unknown
AT4G11150,0.27638518100000004,0.194790352,0.12991277,0.110036744,0.06949939200000001,0.061368720999999994,0.102609658,0.012588713,0.030079149,0.01272932,0.309012401,0.247480662,0.13535924400000002,0.101570279,0.048506149000000005,0.028484164,0.068772944,0.018076315,0.018689888,0.024047955,unknown,Vacuole,0.6406270004808903,unknown
AT1G15690,0.20998851,0.211531995,0.12317576699999999,0.10293950199999999,0.083724616,0.083130123,0.048369685999999995,0.054720925,0.038496462,0.04392241400000001,0.266474119,0.198989269,0.132468519,0.102915336,0.085366166,0.075265314,0.042746936,0.037298057999999995,0.030863192,0.02761309,Vacuole,Vacuole,1.0,Vacuole
AT5G48810,0.125130336,0.163991782,0.168483899,0.130493874,0.117711349,0.097870135,0.038832676,0.055246475999999996,0.049548744000000006,0.052690727,0.12751821900000002,0.14046847699999998,0.159799424,0.146072785,0.12145263099999999,0.09929210599999999,0.049508650999999994,0.054574217,0.055776803,0.045536687,ER,ER,1.0,ER
AT1G09210,0.157838106,0.138718455,0.111614588,0.11410907599999999,0.09474850300000001,0.081960386,0.088539985,0.078410857,0.059235385999999994,0.07482466,0.127956983,0.162139949,0.162729689,0.140674275,0.115448052,0.09507210599999999,0.061186787,0.046386509000000006,0.044764425,0.043641224000000006,ER,ER,1.0,ER
AT1G33120,0.167890083,0.11872302400000001,0.122120359,0.14078763,0.114953642,0.09819626199999999,0.059428466,0.06257167799999999,0.06290567799999999,0.052423179,0.16014957,0.140584127,0.12339487800000001,0.12719473,0.111726345,0.08473771599999999,0.075114736,0.07299065099999999,0.053228522,0.05087872400000001,Ribosome,Ribosome,1.0,Ribosome
AT4G24190,0.117097354,0.167502749,0.148100124,0.109757551,0.106314978,0.09558712,0.075483763,0.072039992,0.054931519000000005,0.053184851,0.110759237,0.14163162599999998,0.141624776,0.125440318,0.11374466400000001,0.103091978,0.070653812,0.068106495,0.064277645,0.060669449,ER,ER,1.0,ER
