Protein_ID,Cytosol,ER,Golgi,Mitochondrion,PM,Plastid,Ribosome,Vacuole,score,pred,cutoff,toppred
AT5G10840,3.08E-07,5.27E-06,0.999558061,1.51E-06,3.37E-07,0.000434394,8.81E-08,2.21E-08,0.999558061,Golgi,0.745320857,Golgi
AT5G10780,5.39E-07,0.999135867,1.41E-08,7.36E-08,0.000763317,2.68E-06,9.74E-05,1.26E-07,0.999135867,ER,0.745320857,ER
AT5G11730,4.13E-07,2.63E-05,0.999086961,2.86E-06,1.05E-06,0.000882264,9.68E-08,1.82E-08,0.999086961,Golgi,0.745320857,Golgi
AT5G35160,7.19E-07,2.69E-05,0.999080226,3.11E-06,9.95E-07,0.000887777,1.78E-07,2.26E-08,0.999080226,Golgi,0.745320857,Golgi
AT4G10140,2.05E-06,4.81E-05,0.998928964,4.71E-06,1.58E-06,0.001014152,4.15E-07,7.16E-08,0.998928964,Golgi,0.745320857,Golgi
AT1G61670,5.76E-07,5.63E-06,0.998921841,6.30E-06,2.42E-07,0.00106526,1.09E-07,2.02E-08,0.998921841,Golgi,0.745320857,Golgi
AT2G04280,2.76E-07,5.78E-05,0.998858869,6.73E-06,4.23E-07,0.001075845,9.27E-08,1.92E-09,0.998858869,Golgi,0.745320857,Golgi
AT1G29470,1.02E-06,1.67E-05,0.998764843,5.95E-06,9.61E-07,0.001210287,1.85E-07,4.74E-08,0.998764843,Golgi,0.745320857,Golgi
AT5G64030,1.57E-06,1.58E-05,0.998457804,1.30E-05,1.39E-06,0.001510111,3.31E-07,9.12E-08,0.998457804,Golgi,0.745320857,Golgi
AT4G18030,4.58E-06,0.000139179,0.998339474,6.15E-06,7.23E-06,0.001501713,1.38E-06,3.69E-07,0.998339474,Golgi,0.745320857,Golgi
AT3G13772,1.80E-06,3.28E-05,0.998245418,8.95E-06,2.14E-06,0.001708244,5.13E-07,1.30E-07,0.998245418,Golgi,0.745320857,Golgi
AT1G26850,2.98E-06,5.52E-05,0.998241216,6.41E-06,3.88E-06,0.001689384,7.53E-07,2.50E-07,0.998241216,Golgi,0.745320857,Golgi
