"Data","DataSplit","pvale(WithoutCNN/DeeSP)","pvalue(WithoutAttention/DeepSP"
"nikolovski2014","Cross_validation",4.01938489026072e-07,0.757282407988729
"nikolovski2014","Test",0.0262610768321404,0.275117312389031
"E14TG2aR","Cross_validation",0.600767482655405,0.328711069029033
"E14TG2aR","Test",0.839106957469949,0.0827783460802252
"itzhak2017","Cross_validation",5.82163546905738e-15,0.419167773669413
"itzhak2017","Test",4.09021877182317e-06,0.0970301136715091
"hirst2018","Cross_validation",5.58637489975857e-30,0.00513238534991108
"hirst2018","Test",1.18937590676573e-08,0.0532790762164371
"LOPITDC2019","Cross_validation",0.517092734278351,0.598157772497368
"LOPITDC2019","Test",0.598509311249449,0.880822786875563
"orre2019","Cross_validation",0.982565063310067,0.00438960128122506
"orre2019","Test",0.0342619189109863,0.0538112778214942
"mulvey2021","Cross_validation",0.23967105755394,0.519000847724925
"mulvey2021","Test",0.0351036534814048,0.192523533006652
